bad_prompts,improved_prompts
Write a story about an elephant.,Write a heartwarming story about a lonely elephant who finds companionship in an unexpected friend.
What's the history of Hip Hop music?,Discuss the cultural significance and evolution of the Hip Hop music genre.
Write a story about a world where love is a disease.,Write a dystopian story about a society where love is considered a disease.
What's gravity?,Explain the concept of gravity to a first-grade student.
Argue for preserving indigenous languages.,Write a persuasive argument for the importance of preserving indigenous languages.
Why is Vincent van Gogh important?,Discuss the influence of Vincent van Gogh on the Post-Impressionist movement.
Write a thriller in Antarctica.,Write a thriller set in an isolated research facility in Antarctica.
"What does ""The Old Man and the Sea"" say about death and legacy?","Analyze the exploration of mortality and legacy in Ernest Hemingway's ""The Old Man and the Sea."""
Write about the Venice Carnival.,Write a vivid account of the Venice Carnival from the perspective of a mask-maker.
What can blockchain do beyond cryptocurrency?,Discuss the potential implications of blockchain technology beyond cryptocurrency.
Write a story in an Amazon village.,Write a magical realism story set in a small village on the banks of the Amazon river.
"What does ""The Grapes of Wrath"" say about class struggle?","Analyze the portrayal of class struggle in John Steinbeck's ""The Grapes of Wrath."""
Write about the Holi festival in India.,Write a descriptive account of the Holi festival celebrations in India.
What can climate change do to global food security?,Discuss the potential impacts of climate change on global food security.
Write a horror story in a lighthouse.,Write a horror story set in a deserted lighthouse on a stormy night.
What's digestion?,Explain the process of digestion to a fourth-grade student using a metaphor.
How did Greek architecture influence Roman designs?,Write a comprehensive essay on the influence of Greek architecture on Roman designs.
Write a story about a world where dreams are sold.,Craft an enchanting fantasy story about a world where dreams can be bottled and sold.
"What does ""Metamorphosis"" say about identity?","Analyze the theme of identity crisis in Franz Kafka's ""Metamorphosis""."
Write about making sushi in Japan.,Write a detailed account of the process and art of sushi making in Japan.
What can self-driving cars do in the future?,Discuss the potential future and implications of self-driving cars.
Write a story about time-traveling kids.,Write an adventurous children's story about a group of time-traveling kids.
What's the life cycle of a butterfly?,Explain the life cycle of a butterfly to a second-grade student in an engaging way.
Write about Kurt Vonnegut's humor.,Write a critical review of the use of dark humor in Kurt Vonnegut's works.
What did the LGBTQ+ rights movement do?,Discuss the socio-cultural impact of the LGBTQ+ rights movement.
Write a detective story in London.,Write a suspenseful detective story set in Victorian London.
"What does ""A Clockwork Orange"" say about free will and determinism?","Analyze the theme of free will and determinism in Anthony Burgess's ""A Clockwork Orange."""
Write a story about a kitten.,Write a heartwarming story about an orphaned kitten adopted by a family of dogs.
What's the history of Jazz music?,Discuss the evolution and significance of Jazz music in the 20th century.
Write a story about a world where emotions are outlawed.,Write a dystopian story about a society where emotions have been outlawed.
What's ecosystem balance?,Explain the concept of ecosystem balance to a middle school student.
Argue for sustainable energy solutions.,Write a persuasive essay arguing for the adoption of sustainable energy solutions.
Why is Salvador Dali important?,Discuss the impact of Salvador Dali on the Surrealist art movement.
Write a murder mystery in a ballet school.,Write a gripping murder mystery set in an elite ballet school.
"What does ""Crime and Punishment"" say about suffering?","Analyze the exploration of human suffering in Fyodor Dostoevsky's ""Crime and Punishment."""
Write about the Day of the Dead in Mexico.,Write a vivid account of a Day of the Dead celebration in Mexico.
What can Deep Learning do for healthcare?,Discuss the potential applications and consequences of Deep Learning in healthcare.
Write a love story in Italy.,Write a romantic story set in a small coastal town in Italy during the summer.
"What does ""Oliver Twist"" say about inequality?","Analyze the portrayal of societal inequality in Charles Dickens's ""Oliver Twist."""
Write about a market in Marrakech.,"Write a descriptive account of a bustling street market in Marrakech, Morocco."
What can gene editing do for future generations?,Discuss the potential impacts of gene editing technologies like CRISPR on future generations.
Write a horror story in a ghost town.,Write a horror story set in a forgotten ghost town in the American West.
What's nuclear fusion?,Explain the process of nuclear fusion to a high school student using clear illustrations.
How did Cubism influence modern design?,Write a detailed essay on the influence of Cubism on modern graphic design.
Write a story about magical librarians.,Create an engaging fantasy story about a secret society of magical librarians.
"What does ""In Search of Lost Time"" say about memory?","Analyze the theme of memory and time in Marcel Proust's ""In Search of Lost Time""."
Write about a geisha in Kyoto.,"Write a vivid account of a day in the life of a geisha in Kyoto, Japan."
What does deforestation in the Amazon do?,Discuss the environmental and economic impacts of deforestation in the Amazon.
Write a story about a traveling snail.,Write a captivating children's story about a snail that travels around the world.
What's a black hole?,Explain the concept of a black hole to a fifth-grade student using simple analogies.
Write about Virginia Woolf's writing style.,Write a thoughtful review of the use of stream of consciousness in Virginia Woolf's works.
What did the Civil Rights Movement do?,Discuss the societal impact of the Civil Rights Movement in the United States.
Write a spy story in Berlin.,Write a thrilling spy story set in Berlin during the Cold War.
"What does ""Oedipus Rex"" say about fate and free will?","Analyze the theme of fate and free will in Sophocles' ""Oedipus Rex."""
Write a story about a puppy.,Write an endearing story about a puppy learning to be a guide dog.
What's the history of Country music?,Discuss the cultural significance and evolution of Country music in the United States.
Write a story about a world where books are banned.,Write a dystopian story about a society where reading books is a crime.
What's photosynthesis?,Explain the process of photosynthesis to a fourth-grade student in an interactive way.
Argue for space exploration.,Write a persuasive argument for the necessity of space exploration.
Why is Pablo Picasso important?,Discuss the influence and legacy of Pablo Picasso in the art world.
Write a detective story in a future New York City.,Write a compelling detective story set in a cyberpunk version of New York City.
What does Freud's theory say about the human mind?,Analyze the exploration of human psyche in Sigmund Freud's psychoanalytic theory.
Write about the Japanese tea ceremony.,Write a detailed account of the traditional tea ceremony in Japan.
What can AI do for finance?,Discuss the implications of Artificial Intelligence in the field of finance.
Write a story in Mongolia.,Write a coming-of-age story set in a nomadic tribe in the Mongolian steppes.
"What does ""All Quiet on the Western Front"" say about war?","Analyze the depiction of war and its effects in Erich Maria Remarque's ""All Quiet on the Western Front."""
Write about the Serengeti.,Write a descriptive account of the wildlife and landscape of the Serengeti.
What can climate change do to coastal cities?,Discuss the potential effects of climate change on coastal cities.
Write a ghost story in a mansion.,Write a ghost story set in an abandoned Victorian mansion.
What's evolution and adaptation?,Explain the evolution and adaptation of species to a middle school student using real-world examples.
How did the Beat Generation influence American literature?,Write a comprehensive essay on the influence of the Beat Generation on contemporary American literature.
Write a detective story in Mumbai.,"Craft a gripping detective story set in the vibrant city of Mumbai, India."
"What does ""The Stranger"" say about isolation?","Analyze the theme of isolation and loneliness in Albert Camus' ""The Stranger""."
Write about how mole sauce is made in Mexico.,Write a detailed account of the process and tradition of making mole sauce in Mexico.
What are the ethics of drones in warfare?,Discuss the ethical considerations and implications of using drones in modern warfare.
Write a story about a chameleon.,Write an intriguing children's story about a chameleon who loses his ability to change color.
What's the water cycle?,Explain the concept of the water cycle to a third-grade student using a hands-on experiment.
"Write about the satire in ""Gulliver's Travels"".","Write a critical analysis of the use of satire in Jonathan Swift's ""Gulliver's Travels""."
What happened when the Berlin Wall fell?,Discuss the socio-political impact of the fall of the Berlin Wall.
Write a horror story in a snowed-in village.,Write a suspenseful horror story set in a remote mountain village cut off by a blizzard.
"What does ""Being and Nothingness"" say about existentialism?","Analyze the theme of existentialism in Jean-Paul Sartre's ""Being and Nothingness""."
Write a story about a puppy and a kitten.,Write a heartwarming story about a puppy and a kitten who become best friends.
What's the history of Blues music?,Discuss the cultural significance and evolution of Blues music in the American South.
Write a story about a world where children rule.,Write a dystopian story about a society where children are in charge.
What's energy conservation?,Explain the concept of energy conservation to a fourth-grade student using a creative model.
Argue for biodiversity.,Write a persuasive argument advocating for the importance of biodiversity.
Why is Leonardo da Vinci important?,Discuss the influence of Leonardo da Vinci on the High Renaissance art period.
Write a thriller in a space station.,Write a thriller set in a high-tech space station orbiting Mars.
"What does ""Orlando"" say about identity?","Analyze the exploration of identity in Virginia Woolf's ""Orlando""."
Write about the running of the bulls in Pamplona.,"Write a vivid account of the running of the bulls festival in Pamplona, Spain."
What can quantum computing do?,Discuss the potential impacts and possibilities of quantum computing.
Write a story in a Filipino village.,Write a magical realism story set in a remote fishing village in the Philippines.
"What does ""Romeo and Juliet"" say about love?","Analyze the portrayal of love and desire in William Shakespeare's ""Romeo and Juliet."""
Write about Mardi Gras in New Orleans.,Write a descriptive account of the Mardi Gras celebrations in New Orleans.
What can renewable energy do for the economy?,Discuss the potential impacts of renewable energy on the global economy.
Write a horror story in a hospital.,Write a horror story set in a haunted hospital.
What's the scientific method?,Explain the concept of the scientific method to a fifth-grade student using a practical experiment.
How did Impressionism influence modern art?,Write a comprehensive essay on the influence of Impressionism on modern art movements.
Write a story about an underwater city.,Craft an engaging fantasy story about a forgotten city beneath the sea.
"What does ""Crime and Punishment"" say about morality?","Analyze the theme of morality in Fyodor Dostoevsky's ""Crime and Punishment""."
Write about origami in Japan.,Write a detailed account of the tradition and art of origami in Japan.
What are the ethics of gene therapy?,Discuss the ethical implications and challenges of gene therapy.
Write a story about a robot.,Write a compelling children's story about a tiny robot with a big heart.
What's photosynthesis?,Explain the process of photosynthesis to a fourth-grade student in an interactive way.
Write about Edgar Allan Poe's suspense.,Write a thoughtful review of the use of suspense in Edgar Allan Poe's works.
What did the Industrial Revolution do?,Discuss the societal impact of the Industrial Revolution in Europe.
Write an adventure story in ancient ruins.,Write a thrilling adventure story set in the ruins of an ancient civilization.
"What does ""Waiting for Godot"" say about hope and despair?","Analyze the theme of hope and despair in Samuel Beckett's ""Waiting for Godot."""
Write a story about a rescue dog.,Write a heartwarming story about a rescue dog's journey to find a forever home.
What's the history of hip-hop music?,Discuss the cultural significance and evolution of hip-hop music in the United States.
Write a story about a world where music is banned.,Write a dystopian story about a society where music is banned.
What's gravity?,Explain the concept of gravity to a third-grade student using a hands-on experiment.
Argue for a plant-based diet.,Write a persuasive argument for the benefits of a plant-based diet.
Why is Frida Kahlo important?,Discuss the influence of Frida Kahlo on the feminist art movement.
Write a mystery in a boarding school.,Write a compelling mystery set in a secluded boarding school in the Swiss Alps.
"What does ""To Kill a Mockingbird"" say about social injustice?","Analyze the exploration of social injustice in Harper Lee's ""To Kill a Mockingbird."""
Write about Diwali in India.,Write a detailed account of the Diwali festival celebration in India.
What can virtual reality do for education?,Discuss the potential applications and impacts of virtual reality in education.
Write a war story in an orphanage.,Write a heart-wrenching story set in an orphanage during the Second World War.
"What does ""Macbeth"" say about ambition and power?","Analyze the portrayal of ambition and power in William Shakespeare's ""Macbeth."""
Write about a night market in Bangkok.,"Write a descriptive account of a bustling night market in Bangkok, Thailand."
What can global warming do to agriculture?,Discuss the potential impacts of global warming on agricultural practices.
Write a ghost story in a lighthouse.,Write a ghost story set in an eerie lighthouse on a deserted island.
What's the food chain?,Explain the concept of the food chain to a second-grade student using real-world examples.
